epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.35246,0.80126,1,1,0.22003,0.00021,0.00021,0.07921
2,1.8382,0.17565,1,1,0.00282,0.000421486,0.000421486,0.0574215
3,2.29641,0.11585,1,1,0.00046,0.00062426,0.00062426,0.0356243
4,2.74588,0.08636,1,1,0.00078,0.000818322,0.000818322,0.0138183
5,3.26058,0.08412,1,1,0.00123,0.0009208,0.0009208,0.0009208
6,3.70837,0.07187,1,1,0.00361,0.000901,0.000901,0.000901
7,4.15801,0.08925,1,1,0.00016,0.0008812,0.0008812,0.0008812
8,4.59853,0.06713,1,1,0.00098,0.0008614,0.0008614,0.0008614
9,5.04769,0.07469,1,1,0.00029,0.0008416,0.0008416,0.0008416
10,5.48634,0.0551,1,1,0.00023,0.0008218,0.0008218,0.0008218
11,5.93839,0.11663,1,1,0.00044,0.000802,0.000802,0.000802
12,6.37817,0.06532,1,1,0.00198,0.0007822,0.0007822,0.0007822
13,6.8274,0.07304,1,1,0.00024,0.0007624,0.0007624,0.0007624
14,7.27295,0.04795,1,1,0.00015,0.0007426,0.0007426,0.0007426
15,7.72031,0.06511,1,1,0.00013,0.0007228,0.0007228,0.0007228
16,8.16713,0.03303,1,1,0.00017,0.000703,0.000703,0.000703
